title,country,genre,director,year,duration,link,description
Оставь мир позади,США,триллер,Сэм Эсмейл,,,https://www.kinopoisk.ru/film/4511543/,"Семья из четырёх человек снимает на выходные шикарный дом с бассейном на побережье недалеко от Нью-Йорка. Расслабленный отдых омрачают некоторые странности: прямо в пляж врезается здоровенный танкер, отключается мобильная связь и интернет, не работает телевидение, а посреди ночи на пороге появляется хозяин дома с дочерью и просит пустить их переночевать, так как в Нью-Йорке произошло массовое отключение электричества. Явно что-то происходит, но никто не понимает, что именно."
Брат,Россия,драма,Алексей Балабанов,,,https://www.kinopoisk.ru/film/41519/,"Демобилизовавшись, Данила Багров возвращается в родной городок. Но скучная жизнь провинции его не устраивает, и он отправляется в Петербург, где, по слухам, уже несколько лет процветает его старший брат. Данила находит брата, но всё оказывается не так просто — брат работает наемным убийцей."
Вечное сияние чистого разума,США,мелодрама,Мишель Гондри,,,https://www.kinopoisk.ru/film/5492/,"Застенчивый и меланхоличный Джоэл живёт ничем не примечательной серой и унылой жизнью. Но однажды вместо привычного рабочего маршрута молодой человек вдруг садится на электричку в другом направлении и устремляется к морю. На песчаном берегу Джоэл замечает девушку с ярко-синими волосами. На обратном пути они знакомятся в вагоне электрички и парень понимает, что у них с Клементиной очень много общего, как будто он уже знает эту девушку. Совсем скоро Джоэл поймёт, что действительно был знаком с ней, более того - они были парой."
Купе номер 6,Финляндия,драма,Юхо Куосманен,,,https://www.kinopoisk.ru/film/1346514/,"Студентка из Финляндии садится в поезд Москва-Мурманск, пытаясь сбежать от своей таинственной московской любви. По воле случая ей приходится разделить долгую поездку и тесное купе с грубоватым русским шахтером. Нечаянное соседство помогает обоим пассажирам купе номер шесть осознать своё одиночество и тоску по человеческим отношениям."
Убийцы цветочной луны,США,драма,Мартин Скорсезе,,,https://www.kinopoisk.ru/film/1077781/,"Вскоре после Первой мировой Эрнест Беркхарт, отслуживший во Франции поваром, приезжает в Оклахому, где находится крупная резервация индейцев племени осейдж, внезапно разбогатевших из-за обнаруженной на их земле нефти. Там живёт его дядя Уильям Хейл по прозвищу Король — друг индейцев и большой человек. Король убеждает Эрнеста посвататься к Молли Кайл, молодой женщине из зажиточной индейской семьи. Идея состоит в том, чтобы земельные права этой семьи со временем перешли к Беркхарту (читай к Хейлу), а для этого всего лишь должны умереть мама Молли, её сёстры и она сама."
Повелитель: Священное королевство,Япония,аниме,Наоюки Ито,,,https://www.kinopoisk.ru/film/6527080/,"Момонга, ныне известный как Король-Заклинатель Аинз Оал Гоун, собирает Колдовское Королевство и его армию нежити, чтобы присоединиться к битве на стороне Священного Королевства и Слейновской Теократии в надежде победить Императора Демонов Ялдаваофа."
Воспоминания об убийстве,Корея Южная,детектив,Пон Джун-хо,,,https://www.kinopoisk.ru/film/65770/,"В 1986 году в провинциальном городе Хвасон две местные женщины были убиты одним и тем же извращённым способом. Детектив Пак Ту-ман и его помощник Чо Ён-гу со всем возможным рвением пытаются найти убийцу. Точнее — заставить признаться в содеянном любого подозреваемого, и делают это самыми жестокими методами. К ним на помощь прибывает детектив Со Тхэ-юн из Сеула, чтобы провести расследование и вычислить маньяка на основе улик и доказательств. Тем временем убийства продолжаются."
Шрэк 2,США,мультфильм,Эндрю Адамсон,,,https://www.kinopoisk.ru/film/5273/,"Шрэк и Фиона возвращаются после медового месяца и находят письмо от родителей Фионы с приглашением на ужин. Однако те не подозревают, что их дочь тоже стала огром! Вместе с Осликом счастливая пара отправляется в путешествие, полное неожиданностей, и попадает в круговорот событий, во время которых приобретает множество друзей…"
Джанго освобожденный,США,вестерн,Квентин Тарантино,,,https://www.kinopoisk.ru/film/586397/,"Шульц — эксцентричный охотник за головами, который выслеживает и отстреливает самых опасных преступников. Он освобождает раба по имени Джанго, поскольку тот может помочь ему в поисках трёх бандитов. Джанго знает этих парней в лицо, ведь у него с ними свои счёты."
Звук свободы,Мексика,драма,Алехандро Гомес Монтеверде,,,https://www.kinopoisk.ru/film/1134493/,"Оперативник Министерства внутренней безопасности Тим Баллард разочаровался в системе — много лет он выслеживал и ловил педофилов, но не вызволил из лап работорговцев ни одного ребёнка. Тим втирается в доверие к недавно пойманному распространителю детского порно, убеждает его, что он «свой», и вот уже из Мексики ему везут восьмилетнего мальчика. Маленький Мигель становится первым освобождённым из множества детей, проданных в сексуальное рабство в Латинской Америке, и Тим решает во что бы то ни стало разыскать его сестрёнку."
Молда,Казахстан,комедия,Абдусаид Шайхисламулы,,,https://www.kinopoisk.ru/film/7055773/,
Мальчишник в Вегасе,США,комедия,Тодд Филлипс,,,https://www.kinopoisk.ru/film/426004/,"Они мечтали устроить незабываемый мальчишник в Вегасе. Но теперь им необходимо вспомнить, что именно произошло: что за ребенок сидит в шкафу номера отеля? Как в ванную попал тигр? Почему у одного из них нет зуба? И, самое главное, куда делся жених? То, что парни вытворяли на вечеринке, не идет ни в какое сравнение с тем, что им придется сделать на трезвую голову, когда они будут шаг за шагом восстанавливать события прошлой ночи."
Подай знак,США,триллер,Зои Кравиц,,,https://www.kinopoisk.ru/film/4630624/,"Переодевшись в вечерние платья, Фрида и Джесс проникают в качестве гостей на приём, где они должны были работать официантками. Там Фрида знакомится со своим кумиром, IT-миллионером Слейтером Кингом, и хорошо проводит вечер в его компании, а затем он приглашает девушек и других гостей на свой частный тропический остров. В течение нескольких дней компания веселится — изысканные блюда, дорогой алкоголь и наркотики — но вскоре Фрида замечает, что происходит что-то странное."
Искупление,Великобритания,драма,Джо Райт,,,https://www.kinopoisk.ru/film/255611/,"Действие фильма начинается в 1935 году и разворачивается на фоне Второй мировой войны. Талантливая тринадцатилетняя писательница Бриони Таллис бесповоротно меняет ход нескольких жизней, когда обвиняет любовника старшей сестры в преступлении, которого он не совершал."
Бык,Россия,драма,Борис Акопов,,,https://www.kinopoisk.ru/film/1142654/,"90-е годы. Экономическая пропасть и криминальные драмы, разворачивающиеся буквально на каждом углу. Молодой лидер преступной группировки Антон Быков по прозвищу «Бык» вынужден зарабатывать любыми способами, чтобы обеспечить свою семью. После районной «стрелки» Антон попадает в отделение милиции, откуда его вызволяет один из московских авторитетов. Взамен он просит героя о маленькой, но опасной услуге."
Серебряные коньки,Россия,мелодрама,Михаил Локшин,,,https://www.kinopoisk.ru/film/1225587/,"1899 год, рождественский Петербург. Яркая праздничная жизнь бурлит на скованных льдом реках и каналах столицы. Накануне нового столетия судьба сводит тех, кому, казалось бы, не суждено было встретиться. Люди из совершенно разных миров, Матвей — сын фонарщика, его единственное богатство — доставшиеся по наследству посеребренные коньки; Алиса — дочь крупного сановника, грезящая о науке. У каждого — своя непростая история, но, однажды столкнувшись, они устремляются к мечте вместе."
Ускорение,Венгрия,фантастика,Микаэль Хофстрём,,,https://www.kinopoisk.ru/film/4745337/,Группа астронавтов отправляется в смертельно опасную миссию к спутнику Сатурна Титану и пытается сохранить контроль над реальностью.
Малышка на миллион,США,драма,Клинт Иствуд,,,https://www.kinopoisk.ru/film/81297/,"Тренеру по боксу Фрэнку Данну так и не удалось воспитать чемпиона. Он владеет спортивным залом в Лос-Анджелесе, где всё ещё проводит тренировки. Дочь не отвечает на его письма, а его лучший боец подписал контракт с другим менеджером. Неожиданно в жизни Фрэнка появляется Мэгги Фицжеральд, 31-летняя официантка, мечтающая стать боксером. Фрэнк не желает тренировать женщину, но упорство Мэгги заставляет его передумать. Впереди - их главное сражение, требующее собрать в кулак всю волю и мужество."
Ходячий замок,Япония,аниме,Хаяо Миядзаки,,,https://www.kinopoisk.ru/film/49684/,"Злая ведьма заточила 18-летнюю Софи в тело старухи. Девушка-бабушка бежит из города куда глаза глядят и встречает удивительный дом на ножках, где знакомится с могущественным волшебником Хаулом и демоном Кальцифером. Кальцифер должен служить Хаулу по договору, условия которого он не может разглашать. Девушка и демон решают помочь друг другу избавиться от злых чар."
Закатать в асфальт,Канада,боевик,С. Крэйг Залер,,,https://www.kinopoisk.ru/film/1040748/,"Во время задержания наркодилера полицейский ветеран Бретт Риджман применяет к преступнику чрезмерное насилие. Поскольку данные действия снял на камеру сосед, то видео попадает в прессу, что вызывает большой скандал. В итоге Риджмана и его напарника Энтони отстраняют от службы на 6 недель без выплаты зарплаты. Оставшись без денег, Бретт предлагает Энтони провернуть одно опасное криминальное дельце."
Поезд в Пусан,Корея Южная,ужасы,Ён Сан-хо,,,https://www.kinopoisk.ru/film/977288/,"У маленькой Су-ан день рождения. Девочка живет с отцом в Сеуле и очень хочет отправиться к маме в Пусан. По дороге случается непредвиденное, и на страну обрушивается загадочный вирус. Пассажирам поезда в Пусан — единственного города, отразившего атаки вируса — придется бороться за выживание. 442 километра в пути. Добро пожаловать на борт и помните — в этой гонке недостаточно выжить, чтобы остаться человеком."
Няньки,США,комедия,Джон Парагон,,,https://www.kinopoisk.ru/film/18120/,"Владельцу транспортной компании угрожают, намекая на двух племянников — близнецов, оставшихся без родителей и живущих у него. И тогда он нанимает двух бесшабашных братьев-качков в качестве телохранителей. Малолетние племяннички дают прикурить нянькам, изобретая все новые и новые каверзы. Но Питера и Дэвида голыми руками не возьмешь: в конце концов, они находят общий язык с маленькими разбойниками. Два великовозрастных шалопая находят свое зеркальное отражение в двух юных проказниках."
Олдбой,Корея Южная,триллер,Пак Чхан-ук,,,https://www.kinopoisk.ru/film/75871/,"1988 год. Обыкновенный и ничем непримечательный бизнесмен О Дэ-cу в день трёхлетия дочери по пути домой напивается, начинает хулиганить и закономерно попадает в полицейский участок. Из участка его под своё поручительство забирает друг детства. Пока тот звонит жене незадачливого пьяницы, О Дэ-су пропадает. Неизвестные похищают его и помещают в комнату без окон на 15 лет."
Ведьмак: Сирены глубин,Польша,мультфильм,Кан Хи-чхоль,,,https://www.kinopoisk.ru/film/4771050/,
Солнцестояние,США,ужасы,Ари Астер,,,https://www.kinopoisk.ru/film/1178137/,"День летнего солнцестояния — древний праздник, который во всех культурах окутан мистическим ореолом. В отрезанном от цивилизованного мира шведском поселении в этот день проводятся уникальные обряды с многовековой традицией. Именно туда отправляется группа молодых американских студентов-антропологов, прихватив с собой девушку одного из них. Однако вскоре после прибытия друзья выясняют, что местные обряды далеко не безобидны."
"Карты, деньги, два ствола",Великобритания,боевик,Гай Ричи,,,https://www.kinopoisk.ru/film/522/,"Четверо приятелей накопили по 25 тысяч фунтов, чтобы один из них мог сыграть в карты с опытным шулером и матерым преступником, известным по кличке Гарри Топор. Парень проиграл 500 тысяч, на выплату долга ему дали неделю, а в противном случае и ему и его друзьям каждый день будут отрубать по пальцу. Ребята решают ограбить бандитов, решивших ограбить трех ботаников, выращивающих марихуану для местного наркобарона."
Убийца 2. Против всех,США,боевик,Стефано Соллима,,,https://www.kinopoisk.ru/film/938461/,"Обстановка на американо-мексиканской границе накаляется, когда наркокартели начинают переправлять в США террористов. Чтобы дать им отпор федеральный агент Мэтт Грейвер вынужден вновь объединиться с не самым надежным напарником – Алехандро."
Королевство полной луны,США,семейный,Уэс Андерсон,,,https://www.kinopoisk.ru/film/571892/,"60-е годы XX века. Пара влюблённых подростков, живущих на острове в Новой Англии, убегает из-под присмотра взрослых. Сэм Шакаски — бойскаут, сирота, от которого отказались приемные родители, из-за своего непростого характера ставший изгоем среди других бойскаутов, и Сьюзи Бишоп — замкнутая двенадцатилетняя неуравновешенная девочка, живущая мечтами о волшебных мирах. После обнаружения пропажи местный шериф начинает расследование, а вожатый лагеря бойскаутов организует поисковый отряд."
Ловушка,США,триллер,М. Найт Шьямалан,,,https://www.kinopoisk.ru/film/5510094/,"Мужчина приводит 12-летнюю дочь на концерт восходящей поп-звезды и замечает, что вокруг слишком много полицейских. Разболтав продавца мерча, он выясняет, что данное мероприятие — ловушка для давно разыскиваемого серийного убийцы"
Шоу Трумана,США,драма,Питер Уир,,,https://www.kinopoisk.ru/film/4541/,"Представьте себе, что вы вдруг начинаете понимать, что все вокруг вас — декорации, а люди — актеры, притворяющиеся теми, кем они вам кажутся. Весь ваш мир оказывается большим телесериалом, где вы исполняете главную роль, даже не подозревая об этом. Вся ваша жизнь — результат работы автора телешоу, которое вот уже тридцать лет смотрит вся планета, начиная с момента вашего рождения.
В такой ситуации оказался Труман, главный герой картины. Будет ли он продолжать жить в безопасном мире, где, как он теперь знает, у него практически нет свободы выбора, или все-таки выйдет из «игры» и станет сам хозяином своей судьбы, в которой его ждет не запланированная сценарием девушка?"
Что случилось осенью,Франция,драма,Франсуа Озон,,,https://www.kinopoisk.ru/film/6320705/,"Мишель, образцовая бабушка и великодушная соседка, наслаждается жизнью в бургундской деревне. Однажды, в нетерпеливом ожидании гостей, она отправляется с подругой Мари-Клод за грибами. Впереди — обед с дочерью и долгожданные каникулы с любимым внуком. Но досадный инцидент рушит все планы, лишая Мишель покоя и радости. Тогда Венсан, сын подруги, который недавно вышел из тюрьмы, решает исправить ситуацию по-своему."
Драйв,США,криминал,Николас Виндинг Рефн,,,https://www.kinopoisk.ru/film/276598/,"Великолепный водитель – при свете дня он выполняет каскадерские трюки на съёмочных площадках Голливуда, а по ночам ведет рискованную игру. Но один опасный контракт – и за его жизнь назначена награда. Теперь, чтобы остаться в живых и спасти свою очаровательную соседку, он должен делать то, что умеет лучше всего – виртуозно уходить от погони."
Другие,Испания,ужасы,Алехандро Аменабар,,,https://www.kinopoisk.ru/film/494/,"Грейс прячет своих детей в уединенном особняке на острове, где семейство дожидается окончания Второй мировой войны. Войны, с которой должен вернуться муж Грейс.
Её дочь и сын страдают странным заболеванием, они не выносят прямого дневного света. Когда в доме появляются трое новых слуг, им приходится соблюдать правила: все комнаты всегда должны быть в полумраке, и нельзя открывать дверь, пока не заперта предыдущая. Но мерному течению жизни дома вскоре приходит конец - некая потусторонняя сущность пытается нарушить заведённый порядок."
Мстители: Финал,США,фантастика,Энтони Руссо,,,https://www.kinopoisk.ru/film/843650/,"Оставшиеся в живых члены команды Мстителей и их союзники должны разработать новый план, который поможет противостоять разрушительным действиям могущественного титана Таноса. После наиболее масштабной и трагической битвы в истории они не могут допустить ошибку."
Любовь со взломом,США,драма,Питер Фачинелли,,,https://www.kinopoisk.ru/film/1025246/,"Гарри, харизматичный вор-домушник, попадает в неловкую ситуацию, когда во время очередного ограбления сталкивается в ванной с Дейзи – хозяйкой дома, пытающейся покончить жизнь самоубийством. Сначала Гарри решает забрать награбленное и убежать, но что-то останавливает его, и он возвращается, чтобы спасти Дейзи жизнь. Казалось бы, что нужно девушке для счастья? Шикарный дом с бассейном, прекрасная внешность – вроде бы жизнь удалась. Что могло заставить человека пойти на самоубийство?"
Аннигиляция,США,ужасы,Алекс Гарленд,,,https://www.kinopoisk.ru/film/749370/,"На Землю прилетает маленький метеорит и становится причиной больших перемен. Он врезается в одиноко стоящий маяк, что загадочным образом меняет территорию вокруг.
Профессор биологии Лина уже год страдает от потери мужа-военного. Кейн отправился на очередное секретное задание, но так и не вернулся — жив ли, погиб — женщина не знает, пока однажды дезориентированный и слегка бледный супруг внезапно не появляется на пороге их спальни. Радость длится недолго — у мужчины начинаются судороги и множественные кровотечения, а по дороге в больницу машину скорой помощи тормозят военные. Лина приходит в себя на секретной базе рядом с той самой загадочной зоной, куда уже отправлялись многочисленные экспедиции, но вернулся, оказывается, только один человек — её Кейн."
Бессмертные: Война миров,Франция,фантастика,Энки Билал,,,https://www.kinopoisk.ru/film/11588/,"2095 год. Над трехуровневым Нью-Йорком парит пирамида бессмертных богов, зловещая корпорация «Евгеника» похищает людей для своих тайных экспериментов, а в мрачных закоулках рыщет серийный убийца, про которого известно лишь то, что он - нечеловек.
Здесь Джилл, загадочную женщину с синими волосами и синими слезами, ждет встреча с древним богом Гором, приговоренным другими богами к смерти. У него есть всего семь дней, чтобы найти человеческую оболочку и соблазнить Джилл, обладающую таинственным даром и способную спасти обреченное божество.
Единственный выбор Гора - тело замороженного 30 лет назад бунтаря Никопола, которому известны страшные тайны Нью-Йорка будущего…"
Онегин,Россия,мелодрама,Сарик Андреасян,,,https://www.kinopoisk.ru/film/5117258/,"Евгений Онегин живет на широкую ногу: балы, приемы, театральные премьеры и прочие развлечения, которые может предложить молодому человеку столица. Но светская жизнь давно утомила его, потому известие о болезни живущего в деревне дяди, он воспринимает, как возможность сбежать от опостылевшего света. Однако, добравшись до имения, Онегин узнает о кончине родственника, что, впрочем, не сильно расстраивает Евгения. Его финансовые дела весьма печальны, а дядя богат и других наследников у него нет. Онегин запирается в имении, сторонится соседей, которые очень скоро начинают называть его между собой чудаком. В бесцельном одиночестве Евгений живет до тех пор, пока в соседнем имении не объявляется вернувшийся из-за границы хозяин — юный, восторженный, еще не пресыщенный жизнью Ленский, который знакомит Евгения с сестрами Татьяной и Ольгой Лариными."
Проклятие «Зов могилы»,Корея Южная,ужасы,Чан Джэ-хён,,,https://www.kinopoisk.ru/film/5309411/,"Проживающая в Лос-Анджелесе богатая семья корейского происхождения узнаёт, что страдает от духа разгневанного предка. Шаманка, её помощник, эксперт по фэншуй и владелец похоронной фирмы в Корее должны извлечь из могилы гроб с телом прадеда и, не вскрывая, кремировать его как можно быстрее. Однако жадный сотрудник больницы, куда привезли останки на временное хранение, поверив слухам о спрятанных там сокровищах, открывает гроб, что приводит к ужасающим последствиям."
Битлджус Битлджус,США,фэнтези,Тим Бёртон,,,https://www.kinopoisk.ru/film/623807/,"После смерти отца Лидия со своей дочерью Астрид и мачехой Делией возвращаются в старый дом в городке Уинтер-Ривер. Когда Астрид обнаруживает на чердаке тот самый макет города, Лидии приходится рассказать ей о Битлджусе — озорном и крайне неприятном призраке, чье имя ни в коем случае нельзя называть три раза. Но любопытство девочки берет верх — она открывает портал в загробную жизнь. Битлджус начинает снова терроризировать всех живых."
Тайна Коко,США,мультфильм,Ли Анкрич,,,https://www.kinopoisk.ru/film/679486/,"12-летний Мигель живёт в мексиканской деревушке в семье сапожников и тайно мечтает стать музыкантом. Тайно, потому что в его семье музыка считается проклятием. Когда-то его прапрадед оставил жену, прапрабабку Мигеля, ради мечты, которая теперь не даёт спокойно жить и его праправнуку. С тех пор музыкальная тема в семье стала табу. Мигель обнаруживает, что между ним и его любимым певцом Эрнесто де ла Крусом, ныне покойным, существует некая связь. Паренёк отправляется к своему кумиру в Страну Мёртвых, где встречает души предков. Мигель знакомится там с духом-скелетом по имени Гектор, который становится его проводником. Вдвоём они отправляются на поиски де ла Круса."
Заклятие,США,ужасы,Джеймс Ван,,,https://www.kinopoisk.ru/film/468994/,"Эд и Лоррейн Уоррены — детективы, которые расследуют паранормальные дела. Однажды к ним обращается семья, страдающая от злого духа. Уоррены, вынужденные сражаться с могущественной демонической сущностью, сталкиваются с самым пугающим случаем в своей жизни."
Убежище,США,ужасы,Монс Морлинд,,,https://www.kinopoisk.ru/film/403783/,"Судебный психиатр Кара Хардинг убеждена, что раздвоения личности не существует. Но очередной её пациент, прикованный к инвалидному креслу, прямо во время сеанса меняет личность и превращается во вполне здорового мужчину."
Убойные каникулы,Канада,комедия,Илай Крэйг,,,https://www.kinopoisk.ru/film/485261/,"Группа студентов отправляется за город, чтобы вовсю оторваться на выходных: попить пивка, поплавать в озере и подышать чистым воздухом. Но в первый же день они сталкиваются с неотёсанными фермерами Такером и Дейлом, которые тоже решили как следует оттянуться на природе. Приняв этих на вид диковатых, но безобидных ребят за злобных маньяков, горожане решают дать деревенщине жёсткий отпор."
Великая,Великобритания,биография,Эллен Кёрас,,,https://www.kinopoisk.ru/film/1390797/,"Фотомодель и икона стиля, блиставшая на обложках Vogue, супруга египетского миллионера, муза Пикассо и Дали, культовый фотограф, автор всемирно известного «Репортажа в ванной Гитлера» и других величайших кадров, которые потрясли мир. Все это — невероятная Ли Миллер."
Облачный атлас,США,фантастика,Лана Вачовски,,,https://www.kinopoisk.ru/film/464484/,"Шесть историй — пять реинкарнаций, происходящих в разное время, тесно переплетающихся между собой."
Далласский клуб покупателей,США,драма,Жан-Марк Валле,,,https://www.kinopoisk.ru/film/260162/,"Реальная история Рона Вудруфа, техасского электрика, у которого в 1985 году обнаружили СПИД. Врачи отвели ему всего 30 дней, но он не пожелал смириться со смертным приговором и сумел продлить свою жизнь, принимая нетрадиционные лекарства, а затем наладил подпольный бизнес по продаже их другим больным."
Материнский инстинкт,США,драма,Бенуа Деломм,,,https://www.kinopoisk.ru/film/4967684/,"Начало 1960-х, американский пригород. Элис и Селин — лучшие подруги. Они живут в соседних домах, их сыновья учатся в одном классе и растут как братья, а знаменательные даты две семьи отмечают вместе. Но этой идиллии приходит конец после несчастного случая. Дружба женщин трещит по швам и оборачивается взаимными подозрениями и упрёками."
Охота,Дания,драма,Томас Винтерберг,,,https://www.kinopoisk.ru/film/647671/,"42-летний Лукас живет в небольшой датской деревушке, работает воспитателем в детском саду и пытается оправиться после тяжелого развода. Жизнь постепенно налаживается: он встречает любимую женщину и восстанавливает отношения с сыном-подростком Маркусом. Но детская обида дочери его лучшего друга провоцирует ложь, которая распространяется по небольшому сообществу как вирус. Мир Лукаса трещит по швам."
Реинкарнация,США,ужасы,Ари Астер,,,https://www.kinopoisk.ru/film/1112132/,"После смерти матери в ранее спокойном доме Энни начинает твориться нечто необъяснимое. Теперь под угрозой жизнь её близких, и с каждым днём открываются новые ужасающие секреты семьи."
SHEKER. Последний шанс,Казахстан,драма,Дархан Тулегенов,,,https://www.kinopoisk.ru/film/6264285/,"Алдик попадает в СИЗО за распространение наркотиков, но прямо перед судом идет на сделку с правоохранительными органами, и это может стать его последним шансом на спасение."
Шоугёрл,США,драма,Джиа Коппола,,,https://www.kinopoisk.ru/film/5494993/,"Лас-Вегас. Легендарное шоу танцовщиц закрывается. Шелли, бывшая икона гламура и звезда выступлений, пытается начать новую жизнь."
Отель Мумбаи: Противостояние,США,боевик,Энтони Марас,,,https://www.kinopoisk.ru/film/958519/,"Мумбаи, 2008 год. Роскошный отель «Тадж-Махал Палас» — гарантия безопасности. К каждому гостю здесь относятся как к богу и требования к персоналу предъявляют самые высокие, но в тот день сотрудникам отеля пришлось особенно тяжело. Город подвергается многочисленным террористическим атакам, и когда вооруженные люди захватывают «Тадж-Махал», расстреливая всех встречных, оказавшимся в ловушке гостям и персоналу придётся пережить настоящий кошмар."
Эбигейл,США,ужасы,Мэттью Беттинелли,,,https://www.kinopoisk.ru/film/5437600/,"Банда наёмников по наводке похищает 12-летнюю балерину, дочь некоего богатого человека. Засев в уединённом особняке, они в течение 24 часов собираются ожидать выкуп, когда вдруг кто-то начинает сокращать их количество."
Сент-Экзюпери,Франция,драма,Пабло Агуэро,,,https://www.kinopoisk.ru/film/5498319/,"1930 год. Антуан де Сент-Экзюпери, пилот французской авиапочты в Аргентине, вместе с лучшим другом и коллегой Анри Гийоме решает проложить более короткий маршрут через горы. Когда Гийоме пропадает в Андах, Сент-Экзюпери отправляется в рискованный ночной полет по спасению своего товарища. Это смертельно опасное путешествие не только меняет его, но и вдохновляет на создание всемирно известной книги «Маленький принц», которая станет символом безграничной силы воображения."
